most_recommend_rtv_program,least_recommend_rtv_program,most_recommend_rtv_program_reason,least_recommend_rtv_program_reason,HH Income + Production/Day (USD),target_binary
3.0,4.0,Raising the village helped the community to get closer access to water. This helps each house hold to save time doing other activities.,Raising the village has not yet brought access to health facilities so the community has not yet benefitted from this sevice.,1.990373935579415,0
3.0,1.0,The provision of water services has greatly reduced on the time spent fetching Water as well as washing hands after visiting the toilet,Weare always affected by too much sunshine and the seeds given sometimes fail to do well regardless of being given regular weather updates,2.370233246945576,1
3.0,5.0,Water was put so near the household so it's been helpful to the people in the village as they access  clean water to use,People need more money to invest in their vslas and they also have so many  debts and they also dont have a criteria for book keeping,2.3624583487597186,1
3.0,99.0,Water is the most recommended program people are still finding it hard to access clean water which is becoming hard for them because they are still using dirty water,All programs of rtv are very good and developmental towards villages incase they are understood clearly and put into work these programs can help me improve their lives,3.571640133283969,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.7686042206590152,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.3187708256201407,0
5.0,4.0,Because they taught us how to save for the future and invest differently hence making profits leading to development among people.,Health workers are scarce and we miss their services in this village therefore they should extend healthy services to our communities.,1.1266197704553869,0
1.0,3.0,The program is most recommended because it was really effective.People adopted so quickly to the new agricultural practices introduced and started seeing great results in their yields.,The program is less recommended because of lack of water sources in the village. We move a long distance to correct water which has been a challenge,3.550536838208071,1
1.0,99.0,"Raising the village made an outstanding effect in theÂ  community and most particularly this household wherein the Household head received both improved seeds and live  stock, for example goats, pigs which made the Household to be counted amongst the livestock farmers and the Household head is very happy about the same.",The programmes listed above are all appreciated by the Household members and this is because every aspect of raising the village comes in a style to completely eradicate poverty,11.836356904850057,1
5.0,99.0,Under this programme people and society at large have been able to save money and borrow Under the village startup fund,"Most of those programs have been implemented in the region, and this is slowly developing the region thus improved standards of living",2.5509070714550166,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.1309144761199555,0
1.0,4.0,Because we have had better through the improved seeds that were given and the agriculture practices that were taught hence l recommend the program to others,Because we still have problems of health services since we walk a long distance to get better treatment hence l don't recommend the program,2.0436875231395777,0
1.0,3.0,Raising the Village has taught us how to have vegetable gardens at home and this has helped us a lot because sometimes you find when you don't have sauce at home and these vegetables can help us,We still have the problem of acess to clean water in this village. We ask RTV to help us to construct for us a tap water a round this community so that we can also have clean water,2.6612365790447985,1
1.0,99.0,"They get enough food in their homes
People take a balanced diet by having enough and nutritious food.
Their is increased incomes through selling food","They have promoted awareness on liquid manure making
Standards of living have improved through construction of latrines.
They get clean and safe water.",2.289448352462052,1
1.0,5.0,"The house hold head loves agriculture so much because she solely depends on it and is so thankful to rtvfor helping her and supporting her. Also the Irish potatoes she sold were fresh , the one for eating though most of other members in the community sell the one for growing at 400,000","Though she is in the sacco, she gets money to save from selling her agricultural products. Saccos are the least recommended",3.496482784154017,1
1.0,4.0,Am getting old day by day but i and my grandkid are surviving on the agricultural programmes implemented by raising the village so I advise ieach and every other person to adopt these practices to survive in this serious economy,"I have alot of disease incidences happening to me but due to lack of access to cheap medication i have invested in all the small i have, if atall raising the village had implemented the health programs i would have saved that for better",1.53054424287301,0
1.0,99.0,"It's good it has helped us to improve on productivity of our lands
Agriculture is source of food to my household 
Agriculture has improved on food security","All are good, the people of raising the village have helped us to improve sanitation in our area which has reduced on diseases",0.9711218067382452,0
1.0,99.0,"The respondent highly recommends agriculture as he says his income increased because of the knowledge acquired through agricultural training such as use of compost manure, use of improved seed among others.",The respondent highly appreciated all rtv projects especially wash which enabled them eradicate the diseases related to hygiene through the use of tippy taps on the toilet area.,1.9037393557941504,0
1.0,99.0,We really recommend agriculture because they gave me seeds such as Irish potatoes to grow for free and we planted them and at least we saw good quality those days,On my side everything was ok even though water is somehow far otherwise they helped us in uprighting hygiene of the community,3.550536838208071,1
5.0,99.0,"There has been increment in the source of income where people have been involved in income generating activities,  also loans to start up businesses to aid in the basic needs of the families",They programs are equally important to the community where they have benefitted in all parts of life and their lives have changed for the better,3.9326175490559048,1
1.0,5.0,"Raising the village has provided them with new improved seeds, better methods of farming as well as formation of organic manure and this has helped many people to overcome the problem of Famine which used to hit the community",The least problem is saving in  VSLA because many people see agriculture and nutrition as an important aspect in reducing various problems like famine,2.040355423917068,0
1.0,99.0,"Agriculture because I got seeds of soya that helped me in the previous seasons, I get income from agriculture aswell as food for my household members","All programs are helpful that is its a healthy person who works
Access to water prevents water borne diseases  aswell 
Which reduces expenditure",3.613106256941873,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,2.199000370233247,0
1.0,99.0,I choose water. This is because in our community before the coming of raising the village we were taking unboiled water from ponds but now due building of water source by RTV we are using good water and boil water for drinking,"I choose agriculture, this is because we I was not given seeds for planting but however I was given free advice on farming",4.5131432802665685,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.9418733802295446,0
1.0,3.0,"This is because rtv has taught us better post harvest handling practices like drying before sale
They also gave us seeds which boosted the produce","This is because water is now available in the community 
Also water has been essential to human as they use for both domestic consumption",2.026656793780081,0
1.0,99.0,Agriculture has helped go increase agricultural production and thus having enough food in their houses and also ha e surplus for sale which  helped to have income for other purposes,All programs were helpful to the Village and so he recommends all programs such that everyone can benefit. Maybe it will help to increase standards of living,2.319215105516476,1
2.0,99.0,"The respondent says through WASH, their personal hygiene has greatly improved and there is less spread of various diseases a reason its recommended most",The respondent says all programs have been promoted in the area and people are appreciating hence there is no least recommended program,2.484265087004813,1
5.0,99.0,There has been an increase in the ways of people in the economic life ever since they started saving and hence provide credit services for individuals and promoting financial inclusion,Raising the village has archive slots in these communities people are cheering it for its efforts towards the betterment of there life,2.288411699370604,1
3.0,2.0,This project gave us improved water sources that improve access to clean drinking water. This reduced diseases and the time spent on fetching water,"I am an old man, and I don't have the ento implement most of the hygiene requirements such as a clean toilet and the kitchen",2.0466493891151427,0
1.0,3.0,"She recommended agriculture because it provides food for consumption and also reduces on costs of buying. 
She also says that the knowledge of manure applications has greatly improved on their yields.",She recommended water least because the organization gave them a water source that functions and also their are many water sources around.,3.456127360236949,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.166975194372455,0
1.0,4.0,"This is because the above program has supported the household in applying manure in their grown crops, especially coffee which is their major economic activity.","The respondent feels that the above program hasn't helped her much,since the health center is near her already,and there are no drugs in the health center even now.",1.677156608663458,0
1.0,99.0,"The program is really well though I have never received anything from rtv the fact that am an old woman, I have no energy to fight. I only plant a little to eat.",I don't have much knowledge about them since I have not been to their workshops where they train from. That's why I cannot say that I least recommend this.,0.5549796371714181,0
3.0,99.0,We are able to drink good water due to the shallow well provided by RTV in the village and a reduction in time wastage leading to more production,All RTV programs have increased on the standards of living which has increased on the income generation and for the household,2.65605331358756,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.066271751203258,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,3.489078119215105,1
1.0,4.0,The respondent appreciated the project because they received the improved seeds and acquired skills on how to make organic manure and how to make organic manure which has increased on their crop production,They have a problem of health outreaches because they move long distances looking for treatment so they need help from the project,2.7486116253239543,1
1.0,99.0,"These have promoted income generation.
They have got enough food.
Eating of nutritious crops
Eating a balanced diet.
Controlled malnutrition diseases.","These programmes all promote and benefit the natives in the way;
They promote the taking of clean and safe water since Rtv provides water sources.",3.3746760459089225,1
2.0,5.0,WASH is most recommended because it has promoted sanitation in the village which has enhanced good health hence encouraging savings,This program needs to be reinstated and people should be given financial literacy this will encourage them do more savings hence posting financial independence,0.5797852647167716,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.5790447982228805,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.664938911514254,0
1.0,2.0,This is because  RTV has improved my food security through teaching us better methods of farming and giving us good quality seeds which has improved our crop yields,This is because the community already a well constructed and a clean water tap which we've been using for our daily domestic work,2.226952980377638,0
2.0,5.0,"The WASH program has help us to live lives free from diseases like dysentery, because we constructed latrines and there's no disposing of waste in the open space, dishracks, our utensils are always dry before we use them. Generally our hygiene is good",Some of us didn't join the vsla because we didn't have income that we would keep saving in the association and therefore we have not benefited much.,5.194002221399481,1
1.0,99.0,They like  vegetables  growing  which  yield  and their market is available  and they  improve  on their diety which improve on their Immunity,They recommend none  because  they have benefited from all of them  though  drought affected their  vegetables which led to income  loss,4.403924472417623,1
1.0,3.0,"fred their proved seeds supplied to them are very good and have supported them so much in increased crop production,they fight with unfavourable weather conditions",None Fred advises that all programs are important in developing their community so he seconds allof them. He requests RTV to also implement water project like the neighbouring villages.,2.5290633098852275,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.437985931136616,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.8933728248796742,0
5.0,99.0,"The community received a village start up fund which helped them boast their business,  boasted agriculture because many bought livestock and these vslas also help in saving","The wash, agriculture, water, access to health and vslas were all impactful to the community but  mostly agriculture did
 them well",7.826730840429471,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.856349500185117,0
1.0,3.0,"I recommend rtv to move to other areas due to its programmes of seed supply of maize, beans and Irish potatoes. And also greens for nutrition","We wea not given a water source in the area so we lack good and safe water point I the community,  we rely on swamp water",3.48870788596816,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.3280266567937801,0
5.0,2.0,The program has helped the household to acquire livestock and he's happy about this program as acquiring livestock was among his goals,This program of WASH is still lacking since some people aren't compling to and he suggesting that it should be given much attention,5.382895223991115,1
1.0,3.0,"Agriculture is aback born of most of the households. Rtv supported people with seeds, carried out trainings. People applied the knowledge in farming that was given, now have been able to make much harvests and also reserved for sale",The water program did not reach the village. People move long distances collecting water and even the water is very dirty not suitable for human consumption,3.67197334320622,1
1.0,2.0,"Because it has helped them to improve on their agricultural systems where they were given vegetables such as Cabbages,  dodo, and improved seeds",It has helped them to improve on their sanitation status where they were encouraged to always improve on their cleanliness of their compound and inside their homes which reduces health sickness,3.9763050721954833,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.3328396890040726,0
1.0,99.0,The program has helped so many people in the village and for my respondent the time when the beans and maize were distributed she was very sick so she wasn't given anything,"All the programs have helped the village even in the community they have improved and gotten the loans, at a very low costs",1.5623843021103294,0
3.0,1.0,"There easy access to clean water and this has reduced in the spread of water born  diseases like diarrhoea, among other diseases",Should always ask the community which type of seeds the community wants  and provide always in time because some time the seeds are distributed late,2.280266567937801,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.8670862643465383,0
3.0,99.0,It has extended water source near to people thus solved that big problem which was making people to suffer alot thus appreciations go to RTV for the water project,Almost all projects have been so good to the village people and their income has raised due to those projects the health is good due to proper hygiene and sanitation,2.0507960014809328,0
5.0,1.0,I got a loan from the Joint VSLA which I used in my business and used part of the money to pay school fees for my children,The seeds which were supplied weren't enough for people in our village thus some of us missed out for example I didn't  get beans,3.3358015549796374,1
2.0,99.0,"This is because the death rate in our community had increased due to poor hygiene and people not taking care of themselves but with the intervention of the RTV organisation, we have been able to register low death rates due to the good hygiene .","This is because all the programs are good as far as l can see ,because even every member of my community praises RTV and therefore l call upon each member to be part of the race .",2.346094039244724,1
1.0,99.0,They are enjoying the use of organic pesticides taught to them by the interventions from rtv and have done so well to their crops,All the programs are targeting to lift up livelihoods if the people in their community so he is open to all the programs brought to them,1.46945575712699,0
1.0,3.0,We yield a lot compared to the time raising the village hadn't brought us improved seeds and since the introduction of the advanced methods of farming we have god yields,Water is still a problem because the protected spring raising village had constructed for us got problems and it's unfunctional,3.0633098852276937,1
1.0,4.0,It has been of help in this village especially to me cause was able to get good quality seedlings that helped in producing much food that we eat and sell.,Still difficult to access hospitals in my village and the one  that is their government doesn't give us enough medicines and doctors which is a big problem.,5.845982969270641,1
1.0,99.0,"It has helped them to be busy and ensure that they care for their gardens unlike previouwhen they could just leave plants. 
RTV has as well increase unity in the village through agriculture",All programmes have been of benefit and cannot under estimate the impact of each programme to the individuals and village at large,3.364309514994446,1
1.0,4.0,People were given goats and these goats have produced more  goats and this have has encouraged people to work so hard for more items,People were taught how to use clean and safe water for human consumption both for cooking and drinking but werenot provided that safe water source,4.798593113661607,1
4.0,5.0,Because  we were able  to  be tought  on how  to improve  on our yields  through  health  education  through  health programme,They know  nothing  about  vslas programme  because  it has never succeed in their community  because of their  high  percentage imposed,4.047389855609034,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",Both of the programmes are important the community skills all are recommended to other areas of their operations as they are going to help the community members,0.564605701592003,0
1.0,99.0,Agriculture is the most recommended because it has enabled people to get more yeilds than the last seasons became of application of liquid manure,"All programs are recommended since every have all been successfully implemented and working well  in the society especially Sanitation,Agriculture",2.178452425027768,0
5.0,4.0,This program has benefited most people in the community because it has taught many people how to save and it has given people the start  up fund,This is because RTV has spent some months not coming back to this community to do some health services of which they fill it should come atleast monthly according to this household,2.2569418733802293,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.4735283228433913,0
1.0,99.0,Water is recommended  most program in Raising the village  because all members  in mabare village fetch water from Wells and taps constructed by Raising the village  team,"In  Mabare village  none is the LEAST recommended  because  people got medicine, improved seeds, fetch clean water and stay in clean environment",6.669751943724546,1
1.0,5.0,Better methods of farming like manure making and manure application were taught to them which proved to be able to increase their harvest,The VSLA collapsed due to corrupt committee leaders who even tried to take their funds. There was no aid recieved to make sure the group stays in place,4.57238059977786,1
2.0,99.0,"We got knowledge on how to maintain hygiene in our homes,around the toilet and the whole community  not forgetting the water sources",All the services offered by Raising the village are good for community development so that there is total transformation,2.293224731580896,1
2.0,99.0,I would recommend WASH people are not understanding the weight of this program like the house hold is not considering cleanliness anyway not even that he has children,All the programs helped people shape their life the way they wanted such as water some people got clean water near them others gained through agriculture,2.134394668641244,0
1.0,99.0,"They instilled knowledge and skills in us about organic manure making, distributed improved seeds that yield high,we sell and get money","All the programs introduced to our village have improved and changed our hence none being least recommended to others.
We ask for continuous support and distribution of seeds",2.8467234357645315,1
5.0,99.0,"It helps us toborrow money tocater for our financial needs
It helps uskeep and save money instead of wasting it.
It brings us close to people.","All rtv programs are good and relevant to us.
I beg rtv to bring even more seeds as most of our crops were washed away by running water.",1.229174379859311,0
1.0,2.0,"Has provided  in agriculture trainings  on how they  improve  their livelihood 
Giving  good  improved  seeds  that  has given  enough  diet in the household","Don't  have time  to be engaged  in the program  of wash and utensils  to be used in the wash
More trainings  is required",1.643835616438356,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.437985931136616,0
1.0,5.0,The household is supporting  WASH and she said that before the Rtv intervention 'her village  was badly  off interms of hygiene,She recommends VSLA  and said that  she didn't not gain much  in VSLA due to misunderstandings that came out from there,2.8011847463902257,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.958533876342096,0
1.0,99.0,Agriculture and nutrition is the  most recommended here because even our balanced diet was enriched with vegetable varieties that rtv provided forexample dodo,There is no program for rtv that I would least recommend because  the intervations present in the community have helped to heal and redeem our economic status through increased  sales of our crop yields,3.7674935209181775,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.4927804516845613,0
1.0,99.0,Agriculture has improved on their levels of income after practicing the better methods of farming like of compost manure that has increased on the production of yields,All projects have improved on well being of the community like after the construction of shallow Wells by WASH projects,1.798593113661607,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.6164383561643835,0
5.0,99.0,The program of VSLA helped the respondent to invest in her business and agriculture and this has helped her to improve on the household incomes,All the programs are good as per the respondent and there is no program she could criticise or least recommend from the selected interventions,7.366901147723065,1
3.0,5.0,The respondent is grateful to rtv for the good programs especially water they got clean water near them and reduced on the distances .,VSLA's people don't really use VSLA's and most of them don't even understand them they are being forced and they even left the programs,6.271751203258052,1
1.0,99.0,This program has improved on agricultural yields through introduction of new agricultural methods and have improved on household income,"All rtv vprojects are beneficial to the community  and are all recommended to other peers especially agriculture and nutrition,  wash",4.8659755646057015,1
1.0,99.0,Agriculture is the most recommended because the people were able to get improved seeds that they planted and got better and were also taught how to make liquid manure and also how to apply it in their gardens,"All the programs are highly recommended because all of them have a great impact on the lives of the people many ways especially VSLAs ,WASH,water",5.8311736393928175,1
99.0,1.0,He has no idea about all the  programs  listed and this could be affective in a way that pipo have failed to develop................................,"This has helped some people to get food and they are surviving 
He therefore urgues the organisation to provide more  because it's a nice one",0.8559792669381711,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.7635690485005553,0
1.0,99.0,Raising the village provided us with good quality seeds that had good crop yields and we have embraced the activity and gained more from agriculture than other previous seasons,"Raising the village programs are all good and doing well for community in terms of increment generation and more food , more savings and good diet however we highly request for water source",1.21673454276194,0
3.0,99.0,Because rtv has constructed clean water sources for both home consumption and watering the gardens which improve on the yields,"Because they are all useful to the community ,people have learnt to make their own organic manure and liquid manure which improve the soils fertility thus harvesting high yields",0.9959274342835986,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.8965568308034061,0
1.0,4.0,This household mostly recommends water because water provided by raising the village is safe and clean and before they used to suffer with dirty water but  now it's clean water and very near to her household,This household least recommends health because hospitals are far  so they request to have many hospitals in their community  so that they  can have and they get services as required,3.1462421325435024,1
1.0,99.0,"Raising the village acted as an eye opener to the household and the entire community wherein the community was  taught about different forms of agricultural practices, gave them agricultural inputs, and in addition introduced VSLAs and this increased their food security as well as their capacity to solve an emergency.","The above mentioned programmes of Raising The Village are so important in a life of a last mile dweller whereby cluster members are introduced to a couple of ideas, that train them in given sequences which yields great importance to the household and the entire community.",5.435024065161051,1
1.0,5.0,Agriculture and nutrition is good because we were helped to know the best agricultural practices which have helped to improve agricultural production in our are,Vsla wasn't like by this person because people i their area tend not to operate  which end up causing losses to the other innocent members,1.432802665679378,0
1.0,2.0,The household respondent was appreciative on the seeds  given by rtv and its own  agronomic  practices  thus making it possible,The household respondent was very  active and   wash components  are  ready  to use tippy taps  and others thus making it easy to rtv being the  least,3.121066271751204,1
1.0,99.0,They recommend  agriculture they give them yield alot and generate  income  which help them  improve  their  standards of living,They recommend none  because  they give them money seedlings  train them improved  farming practices which improve on their crop yeilds,2.454276194002221,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.5296556830803407,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,2.152536097741577,0
1.0,5.0,"The respondent recommended agriculture because they benefited on what they planted in all seasons through improved seeds like beans, Irish potatoes, maize and vegetables like cabbages that were given by raising the village which improved their income",Raising the village limited should raise funds to support their sacco and small businesses which may help them to get loans and purchase family necessities,2.663828211773417,1
1.0,99.0,Raising the village has taught us various good agriculturalÂ  practicesÂ  that have led to increased crop and livestockÂ  yields which has increased the income gainedÂ  and standards of living.,Raising  the village programs have all worked together for the good of the community  especially through agriculture  and the tap that was provided which easiest water access,2.5475749722325065,1
3.0,99.0,Water source has enabled the people to get water on time thereby spending ot on other useful activities like crop production and animal rearing,"All the services provided by Raising the village have helped in many areas say health services have been provided, people have learnt to make fertilisers and pesticides",2.002591632728619,0
1.0,99.0,It has helped us to raise enough food to feed on in our household through the provision of fast maturing seed varieties,The other programs of rtv have helped us to develop ourselves both financially socially and even in terms of health living,2.097371343946686,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,2.30877452795261,1
1.0,3.0,"He recommend agriculture because the organization taught them how to make organic manure and liquid manure which helped them greatly to reduce on spending money to buy manures like dapu which is costly, they also gave them quality seeds like maize, beans,ground nuts but in season two  last yes he was only interested in planting maize and tomatoes but he Brought aso f1 its a brand for tomatoes and this year fist season he planted cassava and maize. 
He was able to start up a business and also Brought some goats to improve on his standards of life.",He recommend water least because the organization never gave them a water borehole and they fetch from the subcounty borehole which was given to them by the government.,1.4316919659385412,0
1.0,3.0,The Agriculture and Nutrition has improved the lives of people where by they are able to plant the cash crops like coffee and cocoa inorder to support in paying school fees for there children.,Water has changed their lives of living through staying safe and clean and by washing hands after visiting latrine with soap,0.8736764161421695,0
1.0,99.0,This program  has  enabled  me to increase  food  crop production  in our family and  increase  the income  levels  due to increased  production,This is because  all the RTV programs  are relevant  to our community  and so l recommend  all of them  to the entire  community,1.1847463902258424,0
1.0,3.0,The program is most recommended because it was really effective.People adopted so quickly to the new agricultural practices introduced and started seeing great results in their yields.,The program is less recommended because of the difficulties wew face to access clean water. The nearest water sources is kilometres from away from the households.,2.3657904479822287,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.3224731580895963,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.875231395779341,0
1.0,3.0,Because it has helped them to improve on their agricultural development by introducing to them improved seeds and live stock which helped them to improve on the home income,Because it has helped them to improve on their sanitation status where they were encouraged to improve on their cleanliness of the compound and the community at large,6.227323213624583,1
1.0,3.0,"The respondent recommended agriculture because they got improved seeds and were trained on how to apply manure to the planting so that they harvest more yields like cabbages, spinach, blacknight shade and Irish potatoes beans maize","They should think about us and give us water by giving us tanks , taps and boreholes to the village for easy access of clean water in our society",2.969270640503517,1
1.0,99.0,He recieved seeds which are improved from Rtvm he alo learnt how to make both liquid and organic manure plus organic pesticides,He recommends all because they have helped him directly and has learnt how to save and borrow from the Vsla and also get into Uchida with people,5.220288781932617,1
4.0,2.0,"It' helps individuals have quality life or good health and participate in different activities, maintain independence and this enhances physical well-being",WASH is the least because water is scarce due to drought and overuse even the source are few and far away from household,2.3065531284709366,1
1.0,5.0,In agriculture we get free and improved seeds of the highest quality which yield more and hence good income. This improves on food security and income at household level,"Like in this village, most people especially the youth aren't trustworthy with money as paying back loans is not their habits thus less recommended",6.875971862273231,1
3.0,99.0,"Ever since a clean and safe water source was introduced,  sanitation and hygiene in our community has greatly improved and people are no longer reporting cases of water borne illnesses","Agricultural practices and seedlings, water sources , trainings on hygiene have all helped us improve our productivity and income has increased.",1.72258422806368,0
1.0,99.0,The respondent appreciates raising the village because of the improved seeds  she received from rtv and the livestock given to her,The respondent says that all rtv programs are effective and important in the village and the community at large most especially agriculture and nutrition and WASH,3.559422436134765,1
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,0.7186227323213624,0
1.0,5.0,"Has give improved  seeds to the community  where by income  in the household  has changed 
Promoted  agricultural  trainings  in improving  crop yields and other agricultural  inputs","Little  time is given to those who get money  from VSLA
requesting  to always  give more money 
More trainings  on how  we should  save",2.66271751203258,1
1.0,99.0,"Capacity building. RTV's focus on training and education empowers farmers with their knowledge and skills they need to optimize their farming practices, making them more self reliant and resilient to challenges such as climate change.","Community led solutions. rtv emphasises community participation and leadership in their programs,ensuring that the initiatives are tailored to the specific needs of each community and that local residents are actively involved in the development process.",3.878933728248796,1
1.0,3.0,"She thanks rtv programmes especially the agricultural one,she received a big  but unfortunately died however, she gets some money from the vsla programmes that has multiplied and he now has many and she does recommend everyone to participate","She thanks rtv programmes especially the agricultural one,she received a big  but unfortunately died however, she gets some money from the vsla programmes that has multiplied and he now has many and she does recommend everyone to participate",3.1532765642354685,1
5.0,2.0,The respondent  has no information  of how the program works and they don't know why they pool their money into these programs  yet they also have other groups they belong to.,This is due to the fact that almost all residents have these program details  put in place and thus little effort should be put in here.,2.354313217326916,1
1.0,4.0,The respondent says Agriculture is the major source  of food therefore it has enhanced food security and is acting as the major source of income to the household,The respondent says they travel along distance to access a government health facility therefore they need interventions from either the government or RTV if possible,1.193631988152536,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,2.06442058496853,0
4.0,1.0,"I recommend the health program to my peers because during the outreaches in our village, they diagnosed me and even gave me some medicines","I least recommend the agriculture program because I didn't get anything from it, as you see me am too old I can't carryout agriculture activities anymore",1.6390225842280637,0
1.0,99.0,The improved seeds that you gave us have created a que of fairly good harvest from season to season regardless of the drought conditions that are disturbing us now ..but I do appreciate the trainings that came along with this program about sustainable agricultural practices,"All these interventions are equally important because they are all focusing on the betterment of our lives right away from food security , access to health, water and sanitation,  saving and financial literacy which are all essential for a healthy and satisfactory living",1.4437615697889672,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,1.1044057756386525,0
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",All interventions have worked for the people credit goes go the implementation team for the god work done in communities,2.6182895223991114,1
