most_recommend_rtv_program,least_recommend_rtv_program,most_recommend_rtv_program_reason,least_recommend_rtv_program_reason
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",Both of the programmes are important the community skills all are recommended to other areas of their operations as they are going to help the community members
2.0,99.0,There is an improvement on the standards of living due to the continued sustainability on programmes like hand washing ad having a cleaner environment,"All RTV programs have bigger influence in the village especially on WASH,agriculture and nutrition and better standards of farming"
,,,
5.0,99.0,"There has been increment in the source of income where people have been involved in income generating activities,  also loans to start up businesses to aid in the basic needs of the families",They programs are equally important to the community where they have benefitted in all parts of life and their lives have changed for the better
1.0,3.0,Rtv gave improved seeds like beans and maize which have increased our yields leading to increased income I the household,Because its an essential basic need to human well-being and living in the community without clean and safe water People can suffer from water born diseases
1.0,2.0,It generates income from the commercial farming industry through provision knowledge about agriculture inputs and trainings in the community,There are many different kinds of places which teaches people how to use their own home resources and nutrition through trainings like in church
2.0,99.0,"Aided in general health through cleaning our homes, washing hands and setting a tippy tap also making latrine 
Water source help in reducing water scarcity and moving long-distance to look for water","All have been good programs in our community, we acquire new skills of saving, new skills of crop planting hence good yields 
Saving groups help in getting money to pay school fees 
Wash helped in improving health through disposal of rubbish, cleaning the homes, the latrine and washing hands"
1.0,4.0,The respondent appreciated the project because they received the improved seeds and acquired skills on how to make organic manure and how to make organic manure which has increased on their crop production,They have a problem of health outreaches because they move long distances looking for treatment so they need help from the project
1.0,99.0,The respondent recommends the agriculture program because it has helped him alot in increasing the income generation of his household by introducing new farming methods,"Not applicable because the respondent says he has benefited very much from all the programs of raising the village through agriculture, livestock, wash,and water program"
,,,
1.0,99.0,There's has been an increase in agricultural productivity and good results because of the introduction of fertilisers which has boosted soil fertility and hence giving out good yields the respondents are happy because it has boosted food security ets,All interventions have worked for the people credit goes go the implementation team for the god work done in communities
1.0,3.0,"The respondent recommended agriculture because they got improved seeds and were trained on how to apply manure to the planting so that they harvest more yields like cabbages, spinach, blacknight shade and Irish potatoes beans maize","They should think about us and give us water by giving us tanks , taps and boreholes to the village for easy access of clean water in our society"
1.0,99.0,"I got alot of knowledge in different  farming methods like crop spacing, line planting, application of of organic manure that is home made.","all the programs programs 
very important to me therefore they should be reached out  to other people in other communities  so that they benefit"
1.0,3.0,Rtv supplied us with improved seeds which have increased our total yields leading to increased income levels in the household,Rtv constructed for us a shallow well which have reduced cases of water born diseases in the community leading to increased income levels
2.0,99.0,Raising the village taught and trained the community about the health and trained us to always boil drinking water before drinking it to avoid waterborne diseases like  cholera which improved our health,Raising the village is a good program which works  and helps every kind of people and of which all programs are good and we gain from them
1.0,99.0,There is provision of knowledge on how to do farming with better methods which increase food production there by increasing food security,"It will be of benefit to the village if agriculture is boosted, Sanitation is improved, water is no longer hard to get, health is improved"
1.0,99.0,"Bse the house hold has greatly benefitted through the seedlings that they received for the last 3 seasons such as gnats,maize",Most sectors are doing well moreso wash. Agriculture and hence they find no specific. Programs that has issues hence the rating
1.0,5.0,"I really recommend agriculture for all the seedlings, educative programs for this has helped is have food security, feed better and earn more","Rtv should add us more money in the savings groups for the other money was helpful, but we would do better If the money was increased"
5.0,2.0,The respondent  has no information  of how the program works and they don't know why they pool their money into these programs  yet they also have other groups they belong to.,This is due to the fact that almost all residents have these program details  put in place and thus little effort should be put in here.
1.0,3.0,Agricultural  programmes have taught the respondent new methods  of keeping the soil fertile hence more crop yields and more sources of food,Water sources are nearby and several.Of all the problems they never talked about water as a problem so it's the least of there worries
1.0,99.0,The improved seeds that you gave us have created a que of fairly good harvest from season to season regardless of the drought conditions that are disturbing us now ..but I do appreciate the trainings that came along with this program about sustainable agricultural practices,"All these interventions are equally important because they are all focusing on the betterment of our lives right away from food security , access to health, water and sanitation,  saving and financial literacy which are all essential for a healthy and satisfactory living"
2.0,99.0,It has helped to reduce on the high level of sickness in our household and digging dumping pits and putting tippy taps on the toilet has helped us have a good hygiene,They are all good and important to us since they help us live a healthy life and a life of growing food crops and also saving
1.0,5.0,Raising has taught me how to take of coffee and hence increasing yields which has generated more income and also the improved farming practices increase yields in other crops,Wanted more money to invest in agriculture such as buying improved seeds and also buying inputs in agriculture such as pesticides and seeds
3.0,99.0,Rtv constructed a protected spring in the community and this helped households and the community at large to access clean and safe water,All rtv programs are good and unique in an interesting way therefore i recommend all of them so highly for other peers to share on them
,,,
1.0,5.0,I would recommend everyone to join rtv programs of agriculture because they have helped many people in different households to be better,I would least recommend rtv program of saving groups because the groups have no enough money to keep them active their by ending up in other saving groups
3.0,99.0,Water source has enabled the people to get water on time thereby spending ot on other useful activities like crop production and animal rearing,"All the services provided by Raising the village have helped in many areas say health services have been provided, people have learnt to make fertilisers and pesticides"
3.0,5.0,"Water Improves on body hygiene and sanitation, water is useful especially while cooking ,washing utensils and clothing plus human being bodies",They help in lending money to settle the debts especially paying school fees where by Vslas have got no much profits to put in the lended money compared to other banks
,,,
5.0,99.0,"It helps us toborrow money tocater for our financial needs
It helps uskeep and save money instead of wasting it.
It brings us close to people.","All rtv programs are good and relevant to us.
I beg rtv to bring even more seeds as most of our crops were washed away by running water."
1.0,99.0,i was taught by raising the village staff for free on improved agriculture practices which have since boosted my yields from crop farming so i recommend this program,oi attended all the programs implemented by raising the village and they all were very developmental which is why i cannot least recommend any
1.0,99.0,"Capacity building. RTV's focus on training and education empowers farmers with their knowledge and skills they need to optimize their farming practices, making them more self reliant and resilient to challenges such as climate change.","Community led solutions. rtv emphasises community participation and leadership in their programs,ensuring that the initiatives are tailored to the specific needs of each community and that local residents are actively involved in the development process."
,,,
2.0,4.0,The respondent says he is fine with Raising The Village and he appreciates because the hygiene is top notch at his home and he hopes to keep telling his fellows,He says the health Centre is far away and he struggles with his health and going there is very long distance from his home to the health centre
,,,
1.0,2.0,"This household appreciates the seeds given out to them, such as maize and beans. Also, the vegetables that improved balanced diety at home",I work away from my household  aking keep the WASH REQUIREMENTS quit hard and tricky. But they too are necessary for health reasons
1.0,99.0,My respondent HARRIET NAMWASE chose WASH as most recommended because they were taught the importance of tippy taps and it helps th reduce cause of diseases,My respondent HARRIET NAMWASE chose NONE as least recommended because they all important especially WASH and Agriculture and she said they gained a lot from rtv interventions in their village
1.0,5.0,Better methods of farming like manure making and manure application were taught to them which proved to be able to increase their harvest,The VSLA collapsed due to corrupt committee leaders who even tried to take their funds. There was no aid recieved to make sure the group stays in place
4.0,5.0,Because  we were able  to  be tought  on how  to improve  on our yields  through  health  education  through  health programme,They know  nothing  about  vslas programme  because  it has never succeed in their community  because of their  high  percentage imposed
1.0,99.0,They give us improved seeds and fertilisers that help us grow fast and get good yields that  we sell and get a living And they also teach us good farming practices,The aes all good and very important to us and none of them are least recommended because they help us to grow and develop financially
3.0,1.0,The household supports water because  she now has access  to watercolour  that she used not to get.They used to fetch  dirty  water,She selected health  because the health centre is far away from  her and she travels  long  distance  to reach there especially  when you are sick
1.0,99.0,"Because through  the agricultural and nutrition program, rtv supplied them with seeds and seedlings for growing which helped them boost their agricultural outputs",Because rtv has done a great job through its different programs to help develop the community to the desired normal standards
1.0,5.0,The respondent recommends agriculture program because it has somehow contributed to the numbers in yields harvested and sold and consumed through teaching the newfarming skills,The respondent least recommend no program because they're all very important in the village andall communities at large so this question shouldn't have appeared
,,,
,,,
1.0,3.0,"He recommend agriculture because the organization taught them how to make organic manure and liquid manure which helped them greatly to reduce on spending money to buy manures like dapu which is costly, they also gave them quality seeds like maize, beans,ground nuts but in season two  last yes he was only interested in planting maize and tomatoes but he Brought aso f1 its a brand for tomatoes and this year fist season he planted cassava and maize. 
He was able to start up a business and also Brought some goats to improve on his standards of life.",He recommend water least because the organization never gave them a water borehole and they fetch from the subcounty borehole which was given to them by the government.
,,,
3.0,99.0,Because rtv has constructed clean water sources for both home consumption and watering the gardens which improve on the yields,"Because they are all useful to the community ,people have learnt to make their own organic manure and liquid manure which improve the soils fertility thus harvesting high yields"
1.0,4.0,Mostvl household benefited fro the agriculture program than anuy other program due to the fact that it benefited most households bybthe fact that it was diversified,Respondent thinks  beneficiaries of the program didn't benefit from the program due to it the fact that they were not given chance to once again meet the doctors
1.0,99.0,"The respondent appreciates rtv for having trained them on better methods of farming which included use of improved seed , application of manure among others which saw them improve their yields.",The respondent appreciates all rtv projects where she says they helped them improve on agriculture which is their source of income and also acquired knowledge on hygiene like use of tippy taps on the toilet area which has helped xeduce disease related to hygiene.
1.0,99.0,"The program is great and because agriculture is the back bone of Uganda so , for that reason I  appreciate it and credit it highly",All programs implemented here are very important and better for the social economic transformation and development of the community
1.0,99.0,"These have promoted income generation.
They have got enough food.
Eating of nutritious crops
Eating a balanced diet.
Controlled malnutrition diseases.","These programmes all promote and benefit the natives in the way;
They promote the taking of clean and safe water since Rtv provides water sources."
1.0,99.0,"Because its the most programme that has improved our economy, uplifted my mindsetin Crop growingand making organic manure and Organic Pesticides.","None of the above qualify to be on the least because all look to be beneficial to us Forexample water, Agriculture where we are receiving crops."
3.0,1.0,"Because RTV constructed a water source within the village, and this has reduced the distance travelled when looking for clean and safe water","Because seeds that were provided by raising the village were not enough, these seeds should at least be provided in every season"
1.0,3.0,Agriculture have improved the income status in our homes thus selling produce and met immediate need and also having enough food in the household.,Water is least recommend because water is available in the village not far and clean (tap) thus having enough source of water that's why it's least recommended.
1.0,4.0,Agricultural support is very much important for the low income eraners in this community. Everyone is much Appreciative for the supplies.,This area is much affected by long distances to the health facilities. It would be great if the consider empowerment of VHTs to boost access to medical services.
5.0,3.0,The respondent got gets some money from the programme and this has helped him to solve some problems regarding family issues,The respondent got gets some money from the programme and this has helped him to solve some problems regarding family issues but supports all the programmes
2.0,99.0,To improve household sanitation and hygiene  through Wash programs which reduces diseases that could be spread by dirty germs which improves human labour productivity and poverty reduction.,All Rtv programs support each other and go hand in hand in reducing household poverty and improving income levels of the people.
1.0,3.0,Agriculture is recommended because it has provided us with enough food production and also increased on our income rate thus rasing our self we appreciate Rtv surely.,Water is least recommend because there are protected sources of water in the village for domestic works thus being least recommend
4.0,2.0,"It' helps individuals have quality life or good health and participate in different activities, maintain independence and this enhances physical well-being",WASH is the least because water is scarce due to drought and overuse even the source are few and far away from household
1.0,99.0,"Source of food and income from sale of Agricultural produce 
Thus increased household income 
Reduced hunger and poverty 
Better nutrition standards 
Increased food production  due to Better farming techniques","The respondent says the RTV  services provided in their area have been good
The respondent says the services offered were satisfactory"
1.0,99.0,The respondent appreciates raising the village because of the improved seeds  she received from rtv and the livestock given to her,The respondent says that all rtv programs are effective and important in the village and the community at large most especially agriculture and nutrition and WASH
1.0,99.0,Raising the village has provided the community with seeds which has boosted agricultural output hence high yields and reduced starvation.,All the Raising the village programs have been effective and beneficial to the community thus all highly recommended because they have been a life changer
1.0,99.0,Water is recommended  most program in Raising the village  because all members  in mabare village fetch water from Wells and taps constructed by Raising the village  team,"In  Mabare village  none is the LEAST recommended  because  people got medicine, improved seeds, fetch clean water and stay in clean environment"
1.0,99.0,Rtv has strongly supported  agriculture  within the community  by teaching  people about  the household  about  the improved  methods  of agriculture,The household  doesn't  recommend  any of the programs  because  it has performed  its best to engage the community  hence the household  highly  appreciate  RTV
3.0,99.0,Rising the Village has improved the way standards of our wash in Construction of the springs where my Household an the entire community are jubilating with safe water we are having.,"None of the above qualify to be on the least because all look to be beneficial to us Forexample water, Agriculture where we are receiving crops."
,,,
1.0,2.0,This is because agriculture is the best way of raising people's standards of living through practicing proper methods of farming,"This program has helped most communities to be with clean compound  compared before rtv organisations  came in, because  before most of households  never had tippy taps  but currently  everything is fine"
2.0,99.0,This program has helped to created  a clean living  environment and this has helped to reduce  disease  like typhoid and cholera,All rtv programs mentioned have helped to improve  living standards of the Household  and so they are all highly  recommended to peers
,,,
1.0,99.0,The respondent recommended agriculture and nutrition to be the most effective program where people in the community have received various support like animals and seeds,Still in the same manner the rising the village being a supportive organisation the respondent did not disclose any further information about this section
,,,
1.0,99.0,Agriculture is most recommended because we were able to learn on how to grow vegetables and improved practices of farming,All programs for RTV are good like Agriculture and nutrition has helped in growing vegetables WASH has improved our community by sensitising us dash racks
1.0,99.0,"I was able to get improved seeds in my household and I have been growing the maize, beans and vegetables that I received from RTV . Additionally the trainings accompanied with the inputs made our livelihood better 
Thank you so much","These interventions are of all good importance simply because they are all needed for a healthy and sustainable life , most especially access to water and medical care"
,,,
,,,
3.0,99.0,"The people of kagarama A had no access to safe water,but when raising stepped in there was adquate water supply, thus improving peoples health,sanitation and hygiene","All programms has helped peole in the community through diffrent trainings held by village champions,team leads that is agriculture and livestock,wash  stc"
1.0,4.0,This is because they gave us livestock such as pigs and chicken and also taught us better agricultural practices which in turn led to increased yields,This is because we only have a well constructed government health centre which has eased access to health services and I haven't seen any health centre constructed by rtv
2.0,99.0,The respondent says that RTV introduced improved farming methods which have increased on agricultural productivity hence increased food security,The respondent says all RTV programs are operating very in the area. He says great thanks to RTV for the improvement in the village
1.0,3.0,This is the best recommended because this program has helped the household to generate their incomes and standards of living,This is least recommended because the household collects water from a distance and therefore it is difficult for them to get water
1.0,99.0,"They gave us improved seeds and vegetables in the community to boost on farming. 
They taught us agricultural farming practices in the community. 
Very many people adopted to composit manure making in the community. 
There's food production at home ie they gave us improved seeds and vegetables we grew it we harvested it",The respondent has told me that all the RTV programs and services are good to human life in the community according to what they doing in the community like health. They have been carrying out health outreaches to the people in the community freely.
1.0,99.0,Cause its the main source of livehood and employment for over 60%of population and helps the country's progress towards second sustainable development goal of ending hunger and all forms of malnutrition,Cause they are good and address ultra poverty  with holistic data informed  and sustainable model that secures basic needs raising  house hold income and Fosters community development
2.0,4.0,"Through this program, I have been able to understand the importance of sanitation and hygiene and their connection to good health and development","This program has not benefited us much, or has never been implemented in our village, because challenges with access to health facilities and services have not been sorted"
2.0,99.0,The household that don't want to have toilet can own one by sensitization rtv does in the last mile community and general WASH hence recommend to the peers,"All rtv interventions are very important for community development like agriculture,  VSLA,  health outreaches,  access to clean water are key for social and economic development"
1.0,99.0,"Rtv has promoted agriculture in the community through diffrent trainings where they have trained them how to do fertilizers such as liquid manure,compost manure thus increasing the productivity and yidlding",All programs have arised the standards and living of the community there fore people have been motivated thus development
1.0,4.0,This household mostly recommends agriculture Because  rtv trainings in the villages has taught them agriculture farming practices forexample compost pits liquid manure and more others,Because the hospitals they go to are distanced from  the household and the entire community and moreso after they have gone their sometimes there's no medicine in the hospital they are being told to buy medicine from somewhere as for this household they normally fall sick so it's so costly for them
1.0,5.0,"Agriculture has helped in ensuring food security around the community,people have been able to learn how to plant improved seeds",Rtv can as well increase on chances of acquiring loan to people to increase in businesses and buy livestock for home support
1.0,99.0,He recieved seeds which are improved from Rtvm he alo learnt how to make both liquid and organic manure plus organic pesticides,He recommends all because they have helped him directly and has learnt how to save and borrow from the Vsla and also get into Uchida with people
,,,
1.0,99.0,They like  vegetables  growing  which  yield  and their market is available  and they  improve  on their diety which improve on their Immunity,They recommend none  because  they have benefited from all of them  though  drought affected their  vegetables which led to income  loss
,,,
1.0,4.0,The hh has received improved seed from rtv in its first intervention period. This yielded high and the hh made sales at the start. Though the goats she didnot get.,There has not been any health outreach made by rtv in this community. This has made costs of accessing health services very high which we are not earning.
1.0,99.0,Agriculture has helped go increase agricultural production and thus having enough food in their houses and also ha e surplus for sale which  helped to have income for other purposes,All programs were helpful to the Village and so he recommends all programs such that everyone can benefit. Maybe it will help to increase standards of living
1.0,5.0,This programme has been effective in improving our household income. The improved seeds opened our eyes we thought our land wasn't productive.,"Our leaders frustrated us in the  VSLA, This has made us not recommend this programme. This may frustrate more people so I may not recommend it at all."
5.0,2.0,The program has helped the household to acquire livestock and he's happy about this program as acquiring livestock was among his goals,This program of WASH is still lacking since some people aren't compling to and he suggesting that it should be given much attention
1.0,2.0,"Agriculture through Rtv has improved peoples ideas to work hard ,improve their food security,livestock and income generation for taking children to school",To help people know more about sanitation and hygiene of their homes because most families are still behind in cleanliness
,,,
4.0,1.0,"I recommend the health program to my peers because during the outreaches in our village, they diagnosed me and even gave me some medicines","I least recommend the agriculture program because I didn't get anything from it, as you see me am too old I can't carryout agriculture activities anymore"
1.0,2.0,Agriculture and nutrition have consistently improved the crop production and food security through its modern measures of agriculture and this has increased its income,WASH is the least recommended because of its weak inspection and this has increased worrying hygiene at the household and its neighbours
3.0,1.0,"There easy access to clean water and this has reduced in the spread of water born  diseases like diarrhoea, among other diseases",Should always ask the community which type of seeds the community wants  and provide always in time because some time the seeds are distributed late
3.0,99.0,"Water because most households are now near to reliable
Clean water sources where they get clean water for their home use because before getting boreholes because before they were getting it from swamps",All  programmes are beneficial to the community because they help to save money to get utility as well as buying food. Which has enabled people to save their money
1.0,99.0,"The respondent highly recommends agriculture as he says his income increased because of the knowledge acquired through agricultural training such as use of compost manure, use of improved seed among others.",The respondent highly appreciated all rtv projects especially wash which enabled them eradicate the diseases related to hygiene through the use of tippy taps on the toilet area.
1.0,5.0,"Raising the village has provided them with new improved seeds, better methods of farming as well as formation of organic manure and this has helped many people to overcome the problem of Famine which used to hit the community",The least problem is saving in  VSLA because many people see agriculture and nutrition as an important aspect in reducing various problems like famine
,,,
1.0,3.0,"This is because the agriculture and nutrition program is easy for people,  gives them knowledge on farming, gives them quality seeds and eventually increases on yields, boosts incomes and nutrition levels.","Because where she is, she travels a long distance to access a water point and thus she doest see the impact of the water program when she still has a long distance to cover to access water."
1.0,4.0,Agriculture is recommended as the best because they were taught better methods of farming such as planting in lines and Compost making manure,Health is recommended as the least because they take long to receive the health assistants in their village and yet access to medical is less
,,,
,,,
1.0,99.0,Cause its the main source  of livehood and employment for over 60% of the population  and it helps on the country's progress towards second sustainable development goal of ending hunger,Cause they are all good  and address poverty with holistic  data informed  and sustainable  model that secures  basic needs and raise house hold income
1.0,99.0,Agriculture and nutrition programs have enhanced crop yields through different improved farming methods taught to us like making organic manure and improved seeds given by rtv,"All programs are good and I would greatly recommend them to my peers especially agriculture and nutrition programs, WASH."
2.0,5.0,WASH is most recommended because it has promoted sanitation in the village which has enhanced good health hence encouraging savings,This program needs to be reinstated and people should be given financial literacy this will encourage them do more savings hence posting financial independence
1.0,99.0,Agriculture practices good farming methods that leads to high yields hence increased income and profits in the community and household,All programs lead to development and liked by the whole community making all the household members to get out of poverty
1.0,99.0,They are enjoying the use of organic pesticides taught to them by the interventions from rtv and have done so well to their crops,All the programs are targeting to lift up livelihoods if the people in their community so he is open to all the programs brought to them
1.0,99.0,I would recommend agriculture and nutrition because through agriculture we can sell products and get money for sustainability,All the programmes of raising the village are crucial towards our lives and I would recommend all the programmes to the people
,,,
,,,
1.0,99.0,"It has greatly influencedÂ  our community in improving agricultural skills and other methods of farming,Â  I highly recommend it to move to other area",Both of the programmes are important the community skills all are recommended to other areas of their operations as they are going to help the community members
1.0,99.0,There's has been an increase in agricultural productivity and good results because of the introduction of fertilisers which has boosted soil fertility and hence giving out good yields the respondents are happy because it has boosted food security ets,All interventions have worked for the people credit goes go the implementation team for the god work done in communities
,,,
1.0,5.0,"The house hold head loves agriculture so much because she solely depends on it and is so thankful to rtvfor helping her and supporting her. Also the Irish potatoes she sold were fresh , the one for eating though most of other members in the community sell the one for growing at 400,000","Though she is in the sacco, she gets money to save from selling her agricultural products. Saccos are the least recommended"
1.0,2.0,I most recommend it it gave us balanced diet got from seeds that they gave us and we even get income from such seeds got from raising the village,I least recommend it because it taught us how to make manure using composit pits and washing hands every after the toilet using a tippy tap and a soap
1.0,5.0,Agriculture improved food production in the area the household is thankful for the food security that is with the community,The VSLA group needed money for loan in order to keep them saving they lost connection because of lack of enough money to keep them moving
,,,
,,,
,,,
,,,
1.0,99.0,Agriculture and nutrition has been of great help to us in this village because we have gained more knowledge on how to look after after our gardens,This household is thankful for the great work that raising the village is doing in this community to make sure people move out of poverty
5.0,99.0,This program has helped the household to learn financial discipline and through this they are able to acquire quick loans,All rtv programs mentioned have helped to improve the living standards of people and thus they are all highly recommend to other peers
,,,
1.0,5.0,"Because they got improved seeds such as Irish potatoes, beans, maize from raising the village and also vegetables such as cabbages, pumpkins,",He says that the groups used to be serious in the beginning and now they are nolonger active abd some people went with loans as they were shifting
,,,
1.0,3.0,I recommend the program to others because it has helped us to have enough food stuffs for our homes in this village through producing better harvests,Because we still walk along distance to fetch water and which is unclean hence still a problem and l don't recommend it to other villages
2.0,99.0,It has improved on health standards of the community as well as household level and more so the community has been able to live a healthy environment,"All RTV programs in this community has really transformed the lives of these people, economically, health Wise, agricultural production"
1.0,99.0,This is because the agricultural sector has over taken and it has greatly helped people to avoid starvation poverty to some  extent....................,"They are all good and there's no  way one can leave them 
They are all  recommended 
People have benefited alot from the organisation"
1.0,5.0,Household received Raising the village improved seeds like beans and maize for growing using the adopted better methods of farming for higher yields,Respondent requests for more funds from Raising the village to boost their VSLA due to low savings by members and low turn of members
1.0,99.0,"She recommends agriculture and nutrition because she got improved seeds from the organisation, got a goat though it was affected by diseases",She says she would recommend all the programs to the peers because she has gained from all of them for example the giving out of seeds
1.0,5.0,Under agriculture there free and improved seeds with high yields and there is livestock. These increase household income and provides food to the household,Most people have limited funds to invest in VSLAs and others have attendecy of not paying back in time thus VSLAs are less recommended
2.0,99.0,Through this program the Household has been able to improve  the sanitation for example washing hands after latrine use and this has helped to get rid of typhoid cases,"All RTV programs have been helped to the Household  therefore they are all recommended to the peers for example wash,water,water and sanitation"
,,,
,,,
1.0,99.0,"They gave them free Improved seeds, taught modern agriculture practices 
She also benefited from the pigs which were distributed","All the projects that were implemented were very impact to the community mostly in agriculture and plus vslas
This has moved their statuses of the village close to middle Income"
3.0,2.0,This program constructed water tanks to them and this has solved a problem of water crisis hence recommending it to be the most,Some households sanitation is un welcoming where the compounds are not swept and bathrooms hence increasing on their risks of getting diseases
1.0,3.0,The supply of seeds and the knowledge that was shared on agriculture has really helped people in food security. Like people were given bean seeds planted them and made huge harvests,The water program was never handled because water is still avery big Challenge in the community where by people still move long distances in search of water
3.0,5.0,Water was put so near the household so it's been helpful to the people in the village as they access  clean water to use,People need more money to invest in their vslas and they also have so many  debts and they also dont have a criteria for book keeping
1.0,3.0,Because it has helped them to improve on their agriculture sector by introducing to them improved seeds which has helped them to improve on their agricultural development and systems in their community,Because it has helped them to have easy access of water where they constructed water sources such as water tanks hence maintaining their health through water
3.0,99.0,It has extended water source near to people thus solved that big problem which was making people to suffer alot thus appreciations go to RTV for the water project,Almost all projects have been so good to the village people and their income has raised due to those projects the health is good due to proper hygiene and sanitation
1.0,99.0,The program provided us with a lot trainings to equip us with knowledge to carry out modern agriculture They also provided us with seeds,All the programs worked greatly in this area and they had impact in my household and community at large. I benefited alot from the programs
1.0,99.0,Raising the village has taught us various good agriculturalÂ  practicesÂ  that have led to increased crop and livestockÂ  yields which has increased the income gainedÂ  and standards of living.,Raising  the village programs have all worked together for the good of the community  especially through agriculture  and the tap that was provided which easiest water access
1.0,99.0,I recommend agriculture because the seeds yielded much and this improved our economic well being and the goats we got helped us overcome some financial challenges.,I don't least recommend any because I believe they all helped the village .May be access to health..I don't know any rtv health centers
1.0,4.0,The respondent appreciates raising the village programs and recommends that they continue helping the needy because they are able to live better lives because of raising thevillage,The house hold is appreciative to  rtv and is so near to the tap which makes it easier for them to get clean water .but so thankfulto rtv
1.0,5.0,"The respondent was good, which has improved the quality of her life hence recommending agriculture to take lead in the village","I save when I have good health  so health first  , agriculture,  water then wash follows and VSLAS  comes at last because  a health person is the one who  saves"
3.0,1.0,The provision of water services has greatly reduced on the time spent fetching Water as well as washing hands after visiting the toilet,Weare always affected by too much sunshine and the seeds given sometimes fail to do well regardless of being given regular weather updates
,,,
,,,
1.0,99.0,"They instilled knowledge and skills in us about organic manure making, distributed improved seeds that yield high,we sell and get money","All the programs introduced to our village have improved and changed our hence none being least recommended to others.
We ask for continuous support and distribution of seeds"
1.0,99.0,Improved agricultural practices are put in practices which has helped to have increased total yields thus increased income,Rtv has carried out trainings in all aspects of life which has helped people to leave health life and encouraging them to participate in economic activities
,,,
3.0,4.0,Rtv has increased  household  income  through  the import  methods  of farming  that have  facilitated  high  production  for  sale and home consumption,Rtv has not maintained  this program due to reason that this program  was for  a short time  and  the household  didn't  fully benefit  from  it
1.0,99.0,Agriculture  because  all what  they  taught  me during  the training I have  put them  into  use and I have  really  benefited,I like them  all because  I almost  benefited from all the programmes  like livestock  because  I received  a pig which as used for mating in the village  and later  people  paid in kid by giving  me piglets
1.0,4.0,This is because it has impacted my household's quality of life by giving me VSF which I used to start a business and also teaching us better agricultural practices,This is because we already have a well constructed Kirima health centre which has eased access to health services and it has helped us to improve on our living standards
1.0,99.0,The program has helped so many people in the village and for my respondent the time when the beans and maize were distributed she was very sick so she wasn't given anything,"All the programs have helped the village even in the community they have improved and gotten the loans, at a very low costs"
2.0,99.0,Water and sanitation have been dealt with as most people have tried to clean up their compounds and their areas of residence,Raising the village as a team has worked tooth and nail to bring development in areas at the last mile as most of those programs have been implemented
1.0,5.0,Agricultural trainings and nutrition has helped the household and community level to  ensure that they is reductions in poverty in their own homes,They can be taught in other interventions that have similar interests and knowledge about wash that are running in the community
,,,
1.0,99.0,The main economic activity done in their area is agriculture. It is their main source of income and food so she would encourage it's advancement more in order to improve production and improve their living standards,"She says all these programs are equally important if taken seriously, she recommends all of them as long as the person is able and willing to participate"
3.0,4.0,Raising the village helped the community to get closer access to water. This helps each house hold to save time doing other activities.,Raising the village has not yet brought access to health facilities so the community has not yet benefitted from this sevice.
,,,
,,,
1.0,3.0,"The agriculture team gave us livestock 
They gave us seedlings
They keep visiting and training us on basic and organic agronomy","We never received any water source almost the whole cluster and its a bit far to where we fetch water
I think the water team can do better"
,,,
,,,
1.0,99.0,program is open and for any one to engage and embrace the profitable cropping of crops and animal reared for economic development and transformation ideally,All programs are good for developing the cluster so as to attain social economic transformation and community development
1.0,3.0,Agriculture is  recommended  because  there is still  a need to introduce  food  banana  that suits  to soil types  of this  area,National water and sewerage cooperation extended its  services in this  area and Rtv constructed  protected spring and Kanungu District local government  also added  an other  spring  to supplement  the existing  sources of water
5.0,99.0,There has been an increase in the ways of people in the economic life ever since they started saving and hence provide credit services for individuals and promoting financial inclusion,Raising the village has archive slots in these communities people are cheering it for its efforts towards the betterment of there life
1.0,5.0,"The agricultural sector has helped people get food 
Improve on standards of living and get out of poverty 
It is recommended because it has sustainable","The respondent is less  involved in this so he considers it less recommend 
People are less involved ............................"
1.0,99.0,Agriculture has improved on their levels of income after practicing the better methods of farming like of compost manure that has increased on the production of yields,All projects have improved on well being of the community like after the construction of shallow Wells by WASH projects
,,,
1.0,99.0,Agriculture and nutrition is the most income earning practice that raising the village brought f0r us where by they gave us seedings,None of the seedings is least recommended because all the programs that you told me are important to me so I cannot recommend any less
1.0,99.0,I recommend agriculture and nutrition most because they have given us seedings of high quality and the products are seen,None of the programs is less recommended because water has helped us just agriculture not leaving wash behind because we benefit from all programs
5.0,3.0,The program has helped the respondent to improve on her household in terms of repairing and maintenence and appreciate it very much,This program to her is not fully effective because the spring was constructed far away from the household and they move long distances to fetch water
1.0,99.0,Improved seeds which are relatively persistent and more yielding have increased food security and income from agriculture even for the village at large. He appreciates the compost pits,All the programs are recommended and good. He requests for a provision of another shallow well since the one provided is too far for everyone.  People end up using river water most of times which is risky
1.0,2.0,"Because it has helped them to improve on their agricultural systems where they were given vegetables such as Cabbages,  dodo, and improved seeds",It has helped them to improve on their sanitation status where they were encouraged to always improve on their cleanliness of their compound and inside their homes which reduces health sickness
,,,
1.0,99.0,This program  has  enabled  me to increase  food  crop production  in our family and  increase  the income  levels  due to increased  production,This is because  all the RTV programs  are relevant  to our community  and so l recommend  all of them  to the entire  community
1.0,99.0,Because respondent claims he was able to improve on the income of his household through the projects of the organisation,Respondent assures me all the RTV projects are crucial for social economical development of the community therefore all the above programs are important
,,,
